prompt,local_tresh
Which magazine was started first Arthur's Magazine or First for Women?,0.4210396291553974
"Musician and satirist Allie Goertz wrote a song about the ""The Simpsons"" character Milhouse, who Matt Groening named after who?",0.3316217450618744
 What nationality was James Henry Miller's wife?,0.15461535258293152
"Which tennis player won more Grand Slam titles, Henri Leconte or Jonathan Stark?",0.49532820755243295
"Who was once considered the best kick boxer in the world, however he has been involved in a number of controversies relating to his ""unsportsmanlike conducts"" in the sport and crimes of violence outside of the ring.",0.3111237720012665
"The Dutch-Belgian television series that ""House of Anubis"" was based on first aired in what year?",0.49513219732046126
What is the length of the track where the 2013 Liqui Moly Bathurst 12 Hour was staged?,0.3491106971740722
"Fast Cars, Danger, Fire and Knives includes guest appearances from which hip hop record executive?",0.29731034660339356
"Gunmen from Laredo starred which narrator of ""Frontier""?",0.3722011994242668
Where did the form of music played by Die Rhöner Säuwäntzt originate?,0.4294658027648926
In which American football game was Malcolm Smith named Most Valuable player?,0.4193016810715199
"The 1988 American comedy film, The Great Outdoors, starred a four-time Academy Award nominee, who received a star on the Hollywood Walk of Fame in what year?",0.2580424089074135
What are the names of the current members of  American heavy metal band who wrote the music for  Hurt Locker The Musical? ,0.49944604654312136
"Human Error"" is the season finale of the third season of a tv show that aired on what network?",0.528478592300415
"Dua Lipa, an English singer, songwriter and model, the album spawned the number-one single ""New Rules"" is a song by English singer Dua Lipa from her eponymous debut studio album, released in what year?",0.44316560029983515
"Which state does the drug stores, of which the CEO is Warren Bryant, are located?",0.3268737208843231
Which  American politician did Donahue replaced ,0.22701885974407196
"Which band was founded first, Hole, the rock band that Courtney Love was a frontwoman of, or The Wolfhounds?",0.3042265495538712
How old is the female main protagonist of Catching Fire?,0.3212089218020439
Who is the director of the 2003 film which has scenes in it filmed at the Quality Cafe in Los Angeles?,0.25860439413785935
Were Pavel Urysohn and Leonid Levin known for the same type of work?,100
Are both The New Pornographers and Kings of Leon American rock bands?,0.360700913643837
"750 7th Avenue and 101 Park Avenue, are located in which city?",0.42649975910782817
"Which actress played the part of fictitious character Kimberly Ann Hart, in the franchise built around a live action superhero television series taking much of its footage from the Japanese tokusatsu 'Super Sentai'?",0.2578659233093262
"Who was born first, Pablo Trapero or Aleksander Ford?",0.3769246129870415
Are Jane and First for Women both women's magazines?,100
What profession does Nicholas Ray and Elia Kazan have in common?,0.3359211320400238
"Which documentary is about Finnish rock groups, Adam Clayton Powell or The Saimaa Gesture?",0.4269440123140812
"Who was inducted into the Rock and Roll Hall of Fame, David Lee Roth or Cia Berg?",0.5054031586647034
Zimbabwe's Guwe Secondary School has a sister school in what New York cunty?,0.4482409825921059
"The Royal Commission into Drug Trafficking (1977–1979) or Woodward Royal Commission was a royal commission initiated by the New South Wales Government to investigate drug trafficking in New South Wales, Australia, especially links between the New South Wales Police and Mafia, The Honoured Society, is a Calabrian 'Ndrangheta criminal confederation, started in Melbourne and currently active in all of which country?  ",0.37312621178627015
"The 337th Flight Test Squadron (337 FLTS) was most recently part of the 46th Test Wing and based at McClellan Air Force Base, a former United States Air Force base located in the North Highlands area of Sacramento County, in which US state?",0.4849812150120735
The axial turbojet Pirna 014 was designed by engineers from this German aircraft and aircraft engine manufacturer based in which city?,0.47371705255508423
"Which faith is designated to the University of Providence, private university accredited by the NW association of Schools and Colleges and located in a third largest city in Montana after being passed by Missoula? ",0.5179181549549103
Pauline Henry was known as the vocalist of a very popular cover song. Which album was this song from?,0.34366789197921754
Guitars for Wounded Warriors is an album that was recorded in the village in which New York county?,0.04819681126475334
"What American country music singer-songwriter, born in May of 1942, sang a duet with her ex-husband the same year that he released the song ""The Battle?""",0.20613339896202088
"Who was born first, Francis Nethersole or Elizabeth Stuart?",0.3385945113182068
What does the Hacker-Pschorr Brewery have to limit in order to comply with German regulations?,0.27312207798361776
"Don Barry Mason was the founder of the Psychedelic Shamanistic Institute (PSI), which other member that's Welsh, that died on 10 April 2016?",0.41223202456235886
Are Gin and tonic and Paloma both cocktails based on tequila?,0.4232142171978951
Who is older Glenn Hughes or Ross Lynch?,100
"In what year was the creator of the current arrangement of the ""Simpson's Theme"" born?",0.34979157042503356
The Southern Railway runs from Vienna to Graz and the border with Slovenia at Spielfeld via the first mountain railway built in Europe to use what kind of track?,0.5040436082839965
In what show did Cynthia Nixon receive the 2004 Primetime Emmy Award for Outstanding Supporting Actress in a Comedy Series and a Screen Actors Guild Award for her performance?,0.4391169622421265
"Lee Jun-fan played what character in ""The Green Hornet"" television series?",100
"The 1895/96 Football League season was the eighth in Football League history with Everton, their Goodison Park home, is a football stadium located in Walton, Liverpool, in which country?",0.40420673401355744
"A Head Full of Dreams Tour is the seventh tour by Coldplay, and which had it's first show at a stadium that is known as Estadio Unico and is owned by who?",0.2688077422678471
"Roger Avary (born August 23, 1965) is a Canadian film and television producer, screenwriter and director in the American mass media industry, he wrote the screenplay for Beowulf, a 2007 British-American 3D motion capture epic fantasy film, directed by who?",0.44703943777084354
"The American Pre-Code comedy film featuring an American actress, dancer, and singer, widely known for performing in films and RKO's musical films, was released in what year?",0.32249855690002444
"An edited version of ""Just the Two of Us"" reached number two on the ""Billboard"" Hot 100 behind a song written and composed by Donna Weiss and Jackie DeShannon which spend how many weeks at No. 1 on the ""Billboard"" hot 100?",0.2846137156546116
"Which band has more members, Saint Motel or Curve?",0.25861808012723925
"""Funnybot"" is the second episode of the fifteenth season of which American animated television series, created by Trey Parker and Matt Stone?  ",100
"What American stage, film, and television actor  who also appeared in a large number of musicals, played Samson in the 1949 film ""Samson and Delilah"".",0.3282800308465958
In what political party was the man who officially opened he Royal Spa Centre in 1972?,100
Which Oscar-nominated film was written by the screenwriter who wrote a 1991 romantic drama based upon a screenplay by Sooni Taraporevala?,0.41596650400161744
Are both Tim McIlrath and Spike Slawson American punk rock musicians?,0.4715960614442825
"The Golden Globe Award winner for best actor from ""Roseanne"" starred along what actress in Gigantic?",0.29595494366884234
"The expert mentor to the celebrities that perform on ""Splash!"" won the 2009 FINA World Championionship in the individual event at what age? ",0.3545932282447815
"Still Da Baddest is the fourth studio album by American rapper Trina, following the poor chart performance, ""I Got a Thang for You"" featuring which American singer/songwriter, record producer, business woman, and television personality, and was born in Oakland, California?",0.12405761152803897
What profession does Am Rong and Alexandre Rockwell have in common?,0.32933329071402545
El Nuevo Cojo and Golf Magazine are both special interest publications but which one is owned by Time Inc?,0.473348035120964
Who funds the bowling team that includes the school bus driver for Springfield Elementary School?,100
What city are George Washington University Hospital and MedStar Washington Hospital Center located in?,0.4590731261968613
"What author has contributed to such works as ""New Statesmen"", ""The Nation"", and ""The Atlantic"", among others, while also being being associated with Dysteleology?",0.319581187748909
Who developed the prototype pacemaker used by the 34th President of the USA?,0.2544788687288761
Which publishing company has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort?,0.28647327263355254
"Who performed the lead single on the album Friends in Low Places, No Fences, that reached #1 on Billboard?",0.4445159579396248
Hate to Feel is the tenth track on what Alice in Chains' album that peaked as number six on the Billboard 200?,0.6181299941539764
"The lead singer and guitarist in the Portland, Oregon rock band consisting of John Gourley, Zach Carothers, Kyle O'Quin, Jason Sechrist and Eric Howk, goes by what alias?",0.433686932516098
What year was the winner of the 2016 Marrakesh ePrix born?,0.26955408289432525
"South Korean actor Kim Yool-ho starred in what 2016 movie directed by Yeon Sang-ho Yeon Sang-ho and starring actors Gong Yoo, Jung Yu-mi, and Ma Dong-seok?",100
According to the 2006 census what is the population of the city in which James Iroha Uchechukwu was born ?,0.3450378493309021
Which industry do Richard Hawley and Chicago's Catherine belong to? ,0.32426323029994963
Are Pam Veasey and Jon Jost both American?,0.14342559792399406
Maurice Hines and his brother were famous for what?,0.3797287092626095
Are the New Orleans Outfall Canals the same length as the Augusta Canal?,100
In which stadium do the teams owned by Myra Kraft's husband play?,0.35063408612012864
"The Swedish-British entertainment studio executive and film executive producer, who was the Executive producer for a 2016 American action thriller film directed by Babak Najafi, currently serve?",100
"an Emmy Award winner and two-time Tony Award winner, was on the episode 15 of the third season of ""Chuck"". what is her name ?",0.26665027048587797
"What is the current name of the Atlanta Mansion built for the daughter of the 41st Mayor of Atlanta, Georgia?",100
Who invented the type of script used in autographs?,100
The Boren-McCurdy proposals were partially brought about by which Oklahoma politician in 1992?,0.16575992044210433
The Thoen Stone is on display at a museum in what county?,0.21196099691390993
"Prince William, Duke of Gloucester and Prince George of Denmark, were eventually monarchs of which Kingdom?",0.4505576634764671
"The airline operating in Whitehorse, Yukon handled how many passengers in 2012?",0.4087083494067192
"What State has a Disney Resort & Spa that is a beachside hotel, resort and vacation destination offering complimentary children's activities and programs and that Djuan Rivers was a General Manager at?",0.3249074621915817
"Which organization presents the award in which Chris Noonan was nominated for his work in ""Babe?""",0.15001662308573724
Where is the base of one of the three main British intelligence agencies?,0.20327656508982184
"When a Man Falls in Love, is a 2013 South Korean television series, starring Song Seung-heon, Shin Se-kyung, Chae Jung-an, and which South Korean actor, born on ? ",0.34080975494384763
"Which English actor of stage, film and television from the 1978 BBC drama ""Pennies From Heaven"" appeared in the 2006 BBC Four television play ""Kenneth Williams: Fantabulosa!?""",0.3535305319786071
Who hosted both Miss USA 1968 and The Price Is Right?,0.38734941244125365
Close to the Enemy starred the English actor known as Ash Morgan in what BBC series?,0.37121908979415896
"What book contains a poem which, along with ""Beowulf"" and the ""Anglo-Saxon Chronicle"", preserves a legendary list of the kings of the Angles?",0.3950886279344558
Norbert Holm was arrested and later demoted because of his Chief of Operations association with a military theorist popularly known as what?,100
What state does Sang-Wook Cheong work as a materials scientist?,0.35422005828619
What type of vegetation does Kniphofia and Baptisia have in common?,0.20403287919163704
"Californian rock band Lit recorded A Place in the Sun in 1995, but what's their best known song?",0.4394601429820061
"Gary Harrison, began his career in the 1970s and has written over how many major-label recorded songs including several number-one hits, another artist who have recorded his work include Bryan White, an American country music artist?",0.5129606954932213
The 1976 German Grand Prix was won by a driver who retired in what year?,0.3008389542579651
